profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
intermediate,rl_based,1,false,60,600,74.5,3,0,5,4,4.17,4,5,1,48.01,80.02,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,2,true,49.6,495,0,12,1,5,4,4.92,4,5,1,29.83,60.13,170,0.3,0.65,0.15,220,0.85,0.75,0.35
improving,rl_based,3,true,41.82,418,0,13,1,5,3,4.58,3,5,2,17.2,41.14,130.43,0.7,0.28,0.45,120.94,0.55,0.6,0.2
skilled,rl_based,4,false,60,600,6.5,11,0,5,5,5,5,5,0,24.27,40.46,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,5,false,60,599,32,8,0,5,4,4.84,4,5,1,37.87,63.12,184.8,0.22,0.54,0.25,220.13,0.82,0.66,0.38
skilled,rl_based,6,false,60,600,49,6,0,5,4,4.25,4,5,1,48.41,80.68,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,7,false,60,600,41.2,7,0,5,4,4.42,4,5,1,39.88,66.47,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,8,false,60,600,23.5,9,0,5,5,5,5,5,0,30.99,51.66,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,9,false,60,600,32,8,0,5,5,5,5,5,0,43.21,72.01,166.79,0.36,0.55,0.26,237.3,0.88,0.7,0.27
intermediate,rl_based,10,false,60,600,24.9,9,0,5,4,4.5,4,5,1,44.27,73.79,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,11,false,60,600,9.9,12,0,5,2,2.92,2,5,3,17.07,28.44,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,12,true,27.87,278,0,12,1,5,5,5,5,5,0,16.27,58.37,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,13,true,52.57,525,0,13,1,5,3,4.63,3,5,2,31.49,59.9,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,14,false,60,600,57.5,5,0,5,5,5,5,5,0,31.47,52.46,170,0.3,0.65,0.15,220,0.85,0.75,0.35
improving,rl_based,15,true,40.32,403,0,14,1,5,2,3.12,2,5,3,13.07,32.41,133.04,0.68,0.31,0.43,126.56,0.57,0.61,0.21
intermediate,rl_based,16,false,60,600,23.5,9,0,5,4,4.93,4,5,1,33.89,56.49,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,17,false,60,600,15,10,0,5,3,4.6,3,5,2,21.87,36.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
improving,rl_based,18,true,25.43,254,0,13,1,5,3,4,3,5,2,9.2,36.17,133.7,0.67,0.31,0.43,127.96,0.57,0.61,0.21
skilled,rl_based,19,false,60,600,66.7,4,0,5,4,4.25,4,5,1,47.48,79.14,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,20,false,60,600,28.7,8,0,5,5,5.17,5,6,2,28.31,47.18,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,21,false,60,600,20.6,10,0,5,2,3.85,2,5,3,32.02,53.36,184.79,0.5,0.75,0.37,147.65,0.88,0.64,0.43
intermediate,rl_based,22,false,60,600,15,10,0,5,5,5,5,5,0,27.87,46.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,23,false,60,600,32,8,0,5,5,5,5,5,0,48.16,80.26,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,24,false,60,600,23.5,9,0,5,4,4.84,4,5,1,40.57,67.61,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,25,false,60,600,15,10,0,5,4,4.93,4,5,1,34.58,57.63,170,0.3,0.65,0.15,220,0.85,0.75,0.35
improving,rl_based,26,true,47.8,477,0,13,1,5,2,3.9,2,5,3,22.01,46.04,135.43,0.66,0.33,0.42,131.71,0.58,0.62,0.22
improving,rl_based,27,true,39.88,398,0,13,1,5,3,4.27,3,5,2,14.43,36.19,135.65,0.66,0.33,0.42,132.17,0.58,0.62,0.22
intermediate,rl_based,28,false,60,600,67.4,4,0,5,4,4.17,4,5,1,42.03,70.06,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,29,false,60,600,26.5,8,0,5,6,5.58,5,6,1,28.82,48.03,161.46,0.57,0.74,0.09,207.85,0.64,0.68,0.29
inconsistent,rl_based,30,false,60,600,10,11,0,5,2,3.6,2,5,3,17.49,29.15,171.11,0.23,0.57,0.31,220.11,0.74,0.68,0.3
intermediate,rl_based,31,false,60,600,43.3,7,0,5,4,4.08,4,5,1,54.02,90.03,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,32,false,60,600,24.2,9,0,5,5,4.75,4,5,2,25.87,43.11,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,33,false,60,600,50.4,6,0,5,4,4.17,4,5,1,50.57,84.28,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,34,false,60,599,49.7,6,0,5,3,3.42,3,5,2,50.14,83.57,195,0.2,0.85,0.06,260,0.95,0.85,0.4
improving,rl_based,35,true,46.03,460,0,14,1,5,2,3.21,2,5,3,19.25,41.83,137.39,0.64,0.34,0.41,135.92,0.6,0.63,0.22
skilled,rl_based,36,false,60,600,15,10,0,5,3,4.77,3,5,2,19.87,33.11,195,0.2,0.85,0.06,260,0.95,0.85,0.4
improving,rl_based,37,true,58.83,588,0,13,1,5,3,3.94,3,5,2,34.57,58.75,137.83,0.64,0.35,0.4,136.86,0.6,0.63,0.22
