profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
skilled,static,1,true,56.08,560,0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,2,false,60,600,23.5,9,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,3,false,60,600,57.5,5,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,4,false,60,600,32,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,5,false,60,600,32,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,6,false,60,601,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,7,false,60,600,40.5,7,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,8,false,60,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,9,false,60,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,10,false,60,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,11,false,60,600,23.5,9,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,12,false,60,600,32,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,13,true,47.5,475,0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,14,false,60,600,49,6,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,15,true,57.5,575,0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,16,false,60,600,66,4,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,17,false,60,600,15,10,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,18,false,60,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,19,false,60,600,57.5,5,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,20,false,60,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,21,false,60,600,40.5,7,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,22,false,60,600,49,6,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,23,false,60,600,40.5,7,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,24,false,60,600,32,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,25,false,60,600,66,4,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,26,true,58.5,585,0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,27,false,60,600,49,6,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,28,false,60,600,32,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,29,true,52.25,522,0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,30,false,60,600,57.5,5,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
