profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
intermediate,rl_based,1,false,60,601,29.8,8,0,5,5,5.17,5,6,2,27.24,45.4,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,2,false,60,600,9.3,11,0,5,3,4.01,3,5,2,29.35,48.91,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,3,false,60,600,32,8,0,5,5,5,5,5,0,48.46,80.76,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,4,false,60,600,32,8,0,5,5,5,5,5,0,44.73,74.55,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,5,true,59.37,593,0,12,1,5,5,5,5,5,0,30.74,51.78,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,6,false,60,600,58.2,5,0,5,4,4.25,4,5,1,46.34,77.24,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,7,false,60,600,27.7,9,0,5,3,4.01,3,5,2,41.78,69.64,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,8,false,60,600,15,10,0,5,5,5,5,5,0,34.32,57.21,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,9,false,60,600,49,6,0,5,4,4.84,4,5,1,40.41,67.34,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,10,false,60,600,15,10,0,5,3,4.6,3,5,2,13.73,22.89,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,11,false,60,600,23.5,9,0,5,4,4.76,4,5,1,38.04,63.41,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,12,false,60,600,18.8,8,0,5,3,5.27,3,7,6,15.76,26.26,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,13,false,60,600,15.8,9,0,5,6,5.66,5,6,1,24.14,40.24,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,14,false,60,600,6.5,11,0,5,5,5,5,5,0,27.73,46.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,15,false,60,600,3.6,12,0,5,3,4.18,3,5,2,33.9,56.5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,16,true,44.77,447,0,11,1,5,6,5.66,5,6,1,15.87,35.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,17,false,60,600,15.7,10,0,5,3,4.77,3,5,2,33.62,56.04,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,18,false,60,599,49,6,0,5,5,5,5,5,0,36.41,60.68,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,19,false,60,600,6.5,11,0,5,4,4.93,4,5,1,34.57,57.61,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,20,false,60,600,23.5,9,0,5,5,5,5,5,0,38.7,64.5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,21,false,60,601,23.5,9,0,5,5,5,5,5,0,33.33,55.55,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,22,false,60,599,18.5,10,0,5,4,4.34,4,5,1,35.86,59.77,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,23,false,60,600,19.9,10,0,5,3,4.01,3,5,2,36.71,61.18,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,24,false,60,600,23.5,9,0,5,4,4.84,4,5,1,30.02,50.03,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,25,false,60,599,66,4,0,5,5,5,5,5,0,25.73,42.89,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,26,false,60,600,19.2,10,0,5,4,4.42,4,5,1,36.18,60.31,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,27,true,37.5,374,0,12,1,5,5,5,5,5,0,17.47,46.58,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,28,false,60,599,49,6,0,5,4,4.59,4,5,1,32.11,53.52,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,29,false,60,600,32,8,0,5,5,5,5,5,0,33.9,56.51,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,30,false,60,600,66.7,4,0,5,4,4.42,4,5,1,37.92,63.21,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,31,false,60,600,33.4,8,0,5,4,4.34,4,5,1,52.56,87.6,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,32,false,60,600,55.3,5,0,5,5,5.17,5,6,2,37.47,62.46,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,33,false,60,601,49.7,6,0,5,4,4.25,4,5,1,48.13,80.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,34,false,60,601,16.4,10,0,5,3,4.6,3,5,2,31.35,52.25,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,35,false,60,601,12.7,12,0,5,0,2.69,0,5,5,19.48,32.46,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,36,false,60,600,20.6,10,0,5,3,4.1,3,5,2,32.27,53.79,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,37,false,60,600,14.9,11,0,5,2,3.6,2,5,3,26.41,44.01,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,38,false,60,600,40.5,7,0,5,4,4.67,4,5,1,36.85,61.41,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,39,false,60,600,7.2,11,0,5,3,4.6,3,5,2,22.94,38.23,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,40,false,60,600,17.1,10,0,5,1,3.7,1,5,4,14.13,23.55,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,41,false,60,600,23.5,9,0,5,3,4.77,3,5,2,39.38,65.64,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,42,false,60,600,52.5,6,0,5,3,3.51,3,5,2,44.87,74.79,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,43,false,60,599,58.2,5,0,5,4,4.34,4,5,1,40.81,68.01,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,44,true,44.55,445,0,11,1,5,5,5.57,5,6,2,17.21,38.63,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,45,false,60,600,50.4,6,0,5,4,4.17,4,5,1,52.41,87.36,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,46,false,60,600,41.2,7,0,5,4,4.59,4,5,1,39.87,66.46,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,47,true,47.7,476,0,11,1,5,4,5.49,4,6,3,19.73,41.37,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,48,true,31.27,312,0,10,1,5,7,5.87,5,7,2,8,25.59,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,49,false,60,600,23.5,9,0,5,5,5,5,5,0,39.18,65.31,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,50,true,55.32,553,0,11,1,5,6,5.63,5,6,1,8.03,14.51,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,51,false,60,600,32,8,0,5,5,5,5,5,0,37.12,61.86,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,52,true,44.28,442,0,11,1,5,5,5.57,5,6,2,16.41,37.05,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,53,true,54.87,548,0,11,1,5,5,5.46,5,6,2,21.77,39.67,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,54,false,60,600,24.3,8,0,5,4,5.43,4,6,3,14.13,23.56,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,55,false,60,600,6.5,11,0,5,5,5,5,5,0,21.76,36.26,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,56,false,60,600,10.7,11,0,5,3,4.09,3,5,2,40.16,66.93,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,57,false,60,600,38.3,8,0,5,3,3.42,3,5,2,52.02,86.71,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,58,false,60,601,23.5,9,0,5,5,5,5,5,0,49.7,82.84,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,59,false,60,600,40.5,7,0,5,5,5,5,5,0,45.21,75.36,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,60,false,60,600,49,6,0,5,5,5,5,5,0,41.21,68.68,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,61,false,60,599,6.5,11,0,5,4,4.84,4,5,1,22.67,37.79,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,62,false,60,600,23.5,9,0,5,4,4.76,4,5,1,21.23,35.38,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,63,false,60,600,49,6,0,5,5,5,5,5,0,43.62,72.7,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,64,true,59.32,593,0,12,1,5,5,5,5,5,0,34.01,57.33,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,65,false,60,600,19.1,9,0,5,5,5.25,5,6,2,36.02,60.04,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,66,false,60,600,15,10,0,5,2,4.36,2,5,3,31.38,52.3,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,67,false,60,600,15,10,0,5,1,4.2,1,5,4,12.8,21.33,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,68,false,60,600,32.7,8,0,5,4,4.59,4,5,1,39.26,65.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,69,false,60,600,23.5,9,0,5,5,5,5,5,0,44.19,73.65,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,70,false,60,599,6.5,11,0,5,4,4.93,4,6,5,25.61,42.68,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,71,false,60,600,44,7,0,5,4,4.08,4,5,1,45.64,76.07,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,72,false,60,600,34.1,8,0,5,3,3.59,3,5,2,51.12,85.2,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,73,false,60,601,54.2,5,0,5,6,5.41,5,6,1,10.53,17.55,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,74,false,60,600,6.5,11,0,5,3,4.44,3,5,2,29.34,48.9,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,75,false,60,600,41.2,7,0,5,4,4.51,4,5,1,41.07,68.46,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,76,false,60,600,41.2,7,0,5,4,4.67,4,5,1,28.67,47.78,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,77,false,60,600,26.3,9,0,5,0,2.61,0,5,5,20.42,34.04,170,0.3,0.65,0.15,220,0.85,0.75,0.35
