profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight,initial_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,within_target_survival_range
beginner,static,1,False,60.0,600,6.5,11,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,2,True,59.5,595,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,3,True,59.0,590,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,4,True,43.17,431,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,5,False,60.0,600,40.5,7,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,6,True,38.08,380,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,7,True,58.08,580,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,8,True,47.17,471,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,9,True,46.75,467,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,10,True,34.17,341,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,11,True,31.08,310,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,12,True,36.17,361,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,13,True,33.25,332,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,14,True,37.67,376,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,15,True,31.5,314,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,16,False,60.0,600,15.0,10,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,17,False,60.0,600,32.0,8,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,18,True,57.42,574,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,19,False,60.0,600,15.0,10,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,20,False,60.0,600,32.0,8,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,21,False,60.0,600,6.5,11,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,22,False,60.0,600,6.5,11,0,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,23,True,52.42,524,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,24,True,29.25,292,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,False
beginner,static,25,True,46.5,465,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,26,True,50.0,500,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,27,True,44.08,440,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,28,True,52.08,520,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,29,True,58.25,582,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
beginner,static,30,True,57.83,578,0.0,12,1,5,130,0.7,0.28,0.45,120,0.55,0.6,0.2,5,5,5,5,0,,True
