profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight,profile
beginner,static,1,False,60.0,600,6.5,11,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,2,True,59.5,595,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,3,True,59.0,590,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,4,True,43.17,431,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,5,False,60.0,600,40.5,7,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,6,True,38.08,380,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,7,True,58.08,580,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,8,True,47.17,471,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,9,True,46.75,467,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,10,True,34.17,341,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,11,True,31.08,310,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,12,True,36.17,361,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,13,True,33.25,332,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,14,True,37.67,376,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,15,True,31.5,314,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,16,False,60.0,600,15.0,10,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,17,False,60.0,600,32.0,8,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,18,True,57.42,574,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,19,False,60.0,600,15.0,10,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,20,False,60.0,600,32.0,8,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,21,False,60.0,600,6.5,11,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,22,False,60.0,600,6.5,11,0,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,23,True,52.42,524,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,24,True,29.25,292,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,25,True,46.5,465,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,26,True,50.0,500,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,27,True,44.08,440,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,28,True,52.08,520,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,29,True,58.25,582,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
beginner,static,30,True,57.83,578,0.0,12,1,5,130.0,0.7,0.28,0.45,120.0,0.55,0.6,0.2,beginner
intermediate,static,1,False,60.0,600,57.5,5,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,2,True,57.33,573,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,3,True,55.67,556,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,4,False,60.0,600,40.5,7,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,5,False,60.0,600,15.0,10,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,6,False,60.0,600,15.0,10,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,7,False,60.0,600,23.5,9,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,8,True,47.33,473,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,9,True,46.42,464,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,10,False,60.0,600,23.5,9,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,11,True,50.83,508,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,12,False,60.0,600,23.5,9,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,13,True,50.5,505,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,14,False,60.0,600,6.5,11,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,15,False,60.0,600,6.5,11,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,16,False,60.0,600,15.0,10,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,17,False,60.0,600,57.5,5,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,18,True,54.58,545,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,19,False,60.0,600,6.5,11,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,20,False,60.0,600,40.5,7,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,21,False,60.0,600,6.5,11,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,22,False,60.0,600,49.0,6,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,23,True,42.33,423,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,24,True,36.08,360,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,25,False,60.0,600,32.0,8,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,26,False,60.0,600,57.5,5,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,27,True,57.42,574,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,28,False,60.0,600,6.5,11,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,29,False,60.0,600,40.5,7,0,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
intermediate,static,30,True,49.33,493,0.0,12,1,5,170.0,0.3,0.65,0.15,220.0,0.85,0.75,0.35,intermediate
skilled,static,1,True,56.08,560,0.0,12,1,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,2,False,60.0,600,23.5,9,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,3,False,60.0,600,57.5,5,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,4,False,60.0,600,32.0,8,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
skilled,static,5,False,60.0,600,32.0,8,0,5,195.0,0.2,0.85,0.06,260.0,0.95,0.85,0.4,skilled
